"project_id","project_title_ar","role","file_name","repo_path","url","alt_ar","required"
"visual-target-tracking","تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","cover","01-cover.webp","web/public/assets/projects/visual-target-tracking/01-cover.webp","/assets/projects/visual-target-tracking/01-cover.webp","مشروع تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","إلزامية"
"visual-target-tracking","تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","build","02-build.webp","web/public/assets/projects/visual-target-tracking/02-build.webp","/assets/projects/visual-target-tracking/02-build.webp","تجميع مشروع تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","اختيارية"
"visual-target-tracking","تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","result","03-result.webp","web/public/assets/projects/visual-target-tracking/03-result.webp","/assets/projects/visual-target-tracking/03-result.webp","ناتج مشروع تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","اختيارية"
"visual-target-tracking","تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","diagram","04-diagram.webp","web/public/assets/projects/visual-target-tracking/04-diagram.webp","/assets/projects/visual-target-tracking/04-diagram.webp","مخطّط مشروع تتبّع هدف متحرّك بصرياً من طائرة مسيّرة","اختيارية"
"gps-denied-vio","الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","cover","01-cover.webp","web/public/assets/projects/gps-denied-vio/01-cover.webp","/assets/projects/gps-denied-vio/01-cover.webp","مشروع الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","إلزامية"
"gps-denied-vio","الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","build","02-build.webp","web/public/assets/projects/gps-denied-vio/02-build.webp","/assets/projects/gps-denied-vio/02-build.webp","تجميع مشروع الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","اختيارية"
"gps-denied-vio","الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","result","03-result.webp","web/public/assets/projects/gps-denied-vio/03-result.webp","/assets/projects/gps-denied-vio/03-result.webp","ناتج مشروع الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","اختيارية"
"gps-denied-vio","الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","diagram","04-diagram.webp","web/public/assets/projects/gps-denied-vio/04-diagram.webp","/assets/projects/gps-denied-vio/04-diagram.webp","مخطّط مشروع الطيران بلا GPS: تحديد الموضع بالرؤية والقصور الذاتي","اختيارية"
"precision-landing-marker","الهبوط الذاتي الدقيق على علامة بصرية","cover","01-cover.webp","web/public/assets/projects/precision-landing-marker/01-cover.webp","/assets/projects/precision-landing-marker/01-cover.webp","مشروع الهبوط الذاتي الدقيق على علامة بصرية","إلزامية"
"precision-landing-marker","الهبوط الذاتي الدقيق على علامة بصرية","build","02-build.webp","web/public/assets/projects/precision-landing-marker/02-build.webp","/assets/projects/precision-landing-marker/02-build.webp","تجميع مشروع الهبوط الذاتي الدقيق على علامة بصرية","اختيارية"
"precision-landing-marker","الهبوط الذاتي الدقيق على علامة بصرية","result","03-result.webp","web/public/assets/projects/precision-landing-marker/03-result.webp","/assets/projects/precision-landing-marker/03-result.webp","ناتج مشروع الهبوط الذاتي الدقيق على علامة بصرية","اختيارية"
"precision-landing-marker","الهبوط الذاتي الدقيق على علامة بصرية","diagram","04-diagram.webp","web/public/assets/projects/precision-landing-marker/04-diagram.webp","/assets/projects/precision-landing-marker/04-diagram.webp","مخطّط مشروع الهبوط الذاتي الدقيق على علامة بصرية","اختيارية"
"depth-obstacle-avoidance","تجنّب العوائق باستشعار العمق","cover","01-cover.webp","web/public/assets/projects/depth-obstacle-avoidance/01-cover.webp","/assets/projects/depth-obstacle-avoidance/01-cover.webp","مشروع تجنّب العوائق باستشعار العمق","إلزامية"
"depth-obstacle-avoidance","تجنّب العوائق باستشعار العمق","build","02-build.webp","web/public/assets/projects/depth-obstacle-avoidance/02-build.webp","/assets/projects/depth-obstacle-avoidance/02-build.webp","تجميع مشروع تجنّب العوائق باستشعار العمق","اختيارية"
"depth-obstacle-avoidance","تجنّب العوائق باستشعار العمق","result","03-result.webp","web/public/assets/projects/depth-obstacle-avoidance/03-result.webp","/assets/projects/depth-obstacle-avoidance/03-result.webp","ناتج مشروع تجنّب العوائق باستشعار العمق","اختيارية"
"depth-obstacle-avoidance","تجنّب العوائق باستشعار العمق","diagram","04-diagram.webp","web/public/assets/projects/depth-obstacle-avoidance/04-diagram.webp","/assets/projects/depth-obstacle-avoidance/04-diagram.webp","مخطّط مشروع تجنّب العوائق باستشعار العمق","اختيارية"
"lidar-slam-mapping","رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","cover","01-cover.webp","web/public/assets/projects/lidar-slam-mapping/01-cover.webp","/assets/projects/lidar-slam-mapping/01-cover.webp","مشروع رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","إلزامية"
"lidar-slam-mapping","رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","build","02-build.webp","web/public/assets/projects/lidar-slam-mapping/02-build.webp","/assets/projects/lidar-slam-mapping/02-build.webp","تجميع مشروع رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","اختيارية"
"lidar-slam-mapping","رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","result","03-result.webp","web/public/assets/projects/lidar-slam-mapping/03-result.webp","/assets/projects/lidar-slam-mapping/03-result.webp","ناتج مشروع رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","اختيارية"
"lidar-slam-mapping","رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","diagram","04-diagram.webp","web/public/assets/projects/lidar-slam-mapping/04-diagram.webp","/assets/projects/lidar-slam-mapping/04-diagram.webp","مخطّط مشروع رسم خرائط ثلاثية الأبعاد بالليزر و SLAM","اختيارية"
"multi-drone-swarm","سرب طائرات متناسق","cover","01-cover.webp","web/public/assets/projects/multi-drone-swarm/01-cover.webp","/assets/projects/multi-drone-swarm/01-cover.webp","مشروع سرب طائرات متناسق","إلزامية"
"multi-drone-swarm","سرب طائرات متناسق","build","02-build.webp","web/public/assets/projects/multi-drone-swarm/02-build.webp","/assets/projects/multi-drone-swarm/02-build.webp","تجميع مشروع سرب طائرات متناسق","اختيارية"
"multi-drone-swarm","سرب طائرات متناسق","result","03-result.webp","web/public/assets/projects/multi-drone-swarm/03-result.webp","/assets/projects/multi-drone-swarm/03-result.webp","ناتج مشروع سرب طائرات متناسق","اختيارية"
"multi-drone-swarm","سرب طائرات متناسق","diagram","04-diagram.webp","web/public/assets/projects/multi-drone-swarm/04-diagram.webp","/assets/projects/multi-drone-swarm/04-diagram.webp","مخطّط مشروع سرب طائرات متناسق","اختيارية"
"autonomous-drone-racing","السباق الذاتي: طيران عالي السرعة عبر بوّابات","cover","01-cover.webp","web/public/assets/projects/autonomous-drone-racing/01-cover.webp","/assets/projects/autonomous-drone-racing/01-cover.webp","مشروع السباق الذاتي: طيران عالي السرعة عبر بوّابات","إلزامية"
"autonomous-drone-racing","السباق الذاتي: طيران عالي السرعة عبر بوّابات","build","02-build.webp","web/public/assets/projects/autonomous-drone-racing/02-build.webp","/assets/projects/autonomous-drone-racing/02-build.webp","تجميع مشروع السباق الذاتي: طيران عالي السرعة عبر بوّابات","اختيارية"
"autonomous-drone-racing","السباق الذاتي: طيران عالي السرعة عبر بوّابات","result","03-result.webp","web/public/assets/projects/autonomous-drone-racing/03-result.webp","/assets/projects/autonomous-drone-racing/03-result.webp","ناتج مشروع السباق الذاتي: طيران عالي السرعة عبر بوّابات","اختيارية"
"autonomous-drone-racing","السباق الذاتي: طيران عالي السرعة عبر بوّابات","diagram","04-diagram.webp","web/public/assets/projects/autonomous-drone-racing/04-diagram.webp","/assets/projects/autonomous-drone-racing/04-diagram.webp","مخطّط مشروع السباق الذاتي: طيران عالي السرعة عبر بوّابات","اختيارية"
"crop-health-ndvi","مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","cover","01-cover.webp","web/public/assets/projects/crop-health-ndvi/01-cover.webp","/assets/projects/crop-health-ndvi/01-cover.webp","مشروع مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","إلزامية"
"crop-health-ndvi","مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","build","02-build.webp","web/public/assets/projects/crop-health-ndvi/02-build.webp","/assets/projects/crop-health-ndvi/02-build.webp","تجميع مشروع مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","اختيارية"
"crop-health-ndvi","مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","result","03-result.webp","web/public/assets/projects/crop-health-ndvi/03-result.webp","/assets/projects/crop-health-ndvi/03-result.webp","ناتج مشروع مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","اختيارية"
"crop-health-ndvi","مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","diagram","04-diagram.webp","web/public/assets/projects/crop-health-ndvi/04-diagram.webp","/assets/projects/crop-health-ndvi/04-diagram.webp","مخطّط مشروع مسح صحّة المحاصيل بالتصوير متعدّد الأطياف","اختيارية"
"thermal-search-rescue","البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","cover","01-cover.webp","web/public/assets/projects/thermal-search-rescue/01-cover.webp","/assets/projects/thermal-search-rescue/01-cover.webp","مشروع البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","إلزامية"
"thermal-search-rescue","البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","build","02-build.webp","web/public/assets/projects/thermal-search-rescue/02-build.webp","/assets/projects/thermal-search-rescue/02-build.webp","تجميع مشروع البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","اختيارية"
"thermal-search-rescue","البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","result","03-result.webp","web/public/assets/projects/thermal-search-rescue/03-result.webp","/assets/projects/thermal-search-rescue/03-result.webp","ناتج مشروع البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","اختيارية"
"thermal-search-rescue","البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","diagram","04-diagram.webp","web/public/assets/projects/thermal-search-rescue/04-diagram.webp","/assets/projects/thermal-search-rescue/04-diagram.webp","مخطّط مشروع البحث والإنقاذ: كشف الأشخاص حرارياً وبصرياً","اختيارية"
"esp32-mini-drone","بناء طائرة صغيرة كاملة على ESP32","cover","01-cover.webp","web/public/assets/projects/esp32-mini-drone/01-cover.webp","/assets/projects/esp32-mini-drone/01-cover.webp","مشروع بناء طائرة صغيرة كاملة على ESP32","إلزامية"
"esp32-mini-drone","بناء طائرة صغيرة كاملة على ESP32","build","02-build.webp","web/public/assets/projects/esp32-mini-drone/02-build.webp","/assets/projects/esp32-mini-drone/02-build.webp","تجميع مشروع بناء طائرة صغيرة كاملة على ESP32","اختيارية"
"esp32-mini-drone","بناء طائرة صغيرة كاملة على ESP32","result","03-result.webp","web/public/assets/projects/esp32-mini-drone/03-result.webp","/assets/projects/esp32-mini-drone/03-result.webp","ناتج مشروع بناء طائرة صغيرة كاملة على ESP32","اختيارية"
"esp32-mini-drone","بناء طائرة صغيرة كاملة على ESP32","diagram","04-diagram.webp","web/public/assets/projects/esp32-mini-drone/04-diagram.webp","/assets/projects/esp32-mini-drone/04-diagram.webp","مخطّط مشروع بناء طائرة صغيرة كاملة على ESP32","اختيارية"
